name,party,Constituency & State,gender,is_nominated,nth loksabha
"Chandak,Shri BHikulal Lachhimichand",Congress,Betul (Madhya Pradesh ),male,0,1
"Chandrasekhar,Smt. Maragatham",Congress,Tiruvallur (Madras ),female,0,1
"Charak,Shri Lakshman Singh",NM,,male,1,1
"Chatterjea,Shri Tushar",CP,Serampore (West Bengal ),male,0,1
"Chatterjee,Shri N.C.",Hindu Mahasabha,Hooghly (West Bengal ),male,0,1
"Chatterjee,Dr. Susil Ranjan",Congress,West Dinajpur (West Bengal ),male,0,1
"Chattopadhyaya,Shri Harindranath",Ind.,Vijaywada (Madras ),male,0,1
"Chaturvedi,Shri Rohanlal",Congress,Etah Dist (Central) (Uttar Pradesh ),male,0,1
"Chaudhari,Shri Ranbir Singh",Congress,Rohtak (Punjab ),male,0,1
"Chaudhary,Shri Ganeshi Lal",Congress,Shahjahanpur Distt. (North) cum Kheri (East)-SC (Uttar Pradesh ),male,0,1
"Chaudhuri,Shri Rohini Kumar",Congress,Gauhati (Assam ),male,0,1
"Chaudhuri,Shri Tridib",RSP,Berhampore (West Bengal ),male,0,1
"Chavda,Shri Akbarbhai Dalumiya",Congress,Banaskantha (Bombay ),male,0,1
"Chettiar,Shri T.A.M. Subramania",Congress,Dharmapuri (Madras ),male,0,1
"Chettiar,Shri T.S. Avinashilingam",Congress,Tiruppur (Madras ),male,0,1
"Chettiar,Shri V.VR.N.AR. Nagappa",Congress,Ramanthapuram (Madras ),male,0,1
"Chettiar,Shri T.A.Ramalinga",Congress,Coimbatore (Madras ),male,0,1
"Chinaria,Shri Hira Singh",Congress,Mohindergarh (Patiala and East Punjab States ),male,0,1
"Choudhri,Shri Muhammad Shaffee",NM,,male,1,1
"Choudhuri,Smt. Ila Pal",Congress,Nabadwip-SC (West Bengal ),female,0,1
"Chowdhari,Shri Chapalamadugu Ramaiah",Ind.,Narasaraopet (Madras ),male,0,1
"Chowdhury,Shri Nikunja Bihari",CP,Ghatal (West Bengal ),male,0,1
"Dabhi,Shri Fulsinhji Bharatsinhji",Congress,Kaira North (Bombay ),male,0,1
"Daga,Shri Sheodass",Congress,Mahasamund (Madhya Pradesh ),male,0,1
"Damar,Shri Amar Singh",Congress,Jhabua-ST (Madhya Bharat ),male,0,1
"Damodaran,Shri Govindaswami Naidu Rangaswami Naidu",Congress,Pollachi (Madras ),male,0,1
"Damodaran,Shri Nettur P.",KMPP,Tellicherry (Madras ),male,0,1
"Das,Shri Bhubananda",Congress,Dhenkanal West Cuttack-SC (Odisha ),male,0,1
"Das,Shri Basanta Kumar",Congress,Contai (West Bengal ),male,0,1
"Das,Shri Beli Ram",Congress,Barpeta (Assam ),male,0,1
"Das,Shri Bijoy Chandra",CP,Ganjam South (Odisha ),male,0,1
"Das,Shri Kamal Krishna",Congress,Birbhum-SC (West Bengal ),male,0,1
"Das,Dr. Mono Mohan",Congress,Burdwan (West Bengal ),male,0,1
"Das,Shri Nayan Tara",Congress,Monghyr Sadar cum Jamui-SC (Bihar ),male,0,1
"Das,Shri Ram Dhani",Congress,Gaya-East-SC (Bihar ),male,0,1
"Das,Shri Ramananda",Congress,Barrackpore (West Bengal ),male,0,1
"Das,Shri Sarangadhar",Socialist,Dhenkanal West Cuttack-SC (Odisha ),male,0,1
"Das,Shri Shree Narayan",Congress,Darbhanga Central (Bihar ),male,0,1
"Dasji,Shri Guru Gosain Agam",Congress,Bilaspur-Durg-Raipur (Madhya Pradesh ),male,0,1
"Datar,Shri Balwantrao Nageshrao",Congress,Belgaum North (Bombay ),male,0,1
"Deb,Shri Dasaratha",CPI,Tripura East-ST (Tripura ),male,0,1
"Deb,Shri Suresh Chandra",Congress,Cachar-Lusai Hills-SC (Assam ),male,0,1
"Deo,H.H.Maharaja Rajendra Narayan Singh",GP,Kalahandi Bolangir-ST (Odisha ),male,0,1
"Deogam,Shri Kanhu Ram",Jharkhand,Chaibassa-ST (Bihar ),male,0,1
"Desai,Shri Kanayalal Nanabhai",Congress,Surat-ST (Bombay ),male,0,1
"Desai,Shri Khandubhai Kasanji",Congress,Halar (Saurashtra ),male,0,1
"Deshmukh,Dr. Chintaman Dwarkanath",Congress,Kolaba (Bombay ),male,0,1
"Deshmukh,Shri Krishnarao Gulabrao",Congress,Amravati West (Madhya Pradesh ),male,0,1
"Deshmukh,Dr. Punjabrao Shamrao",Congress,Amravati East (Madhya Pradesh ),male,0,1
"Deshpande,Shri Govind Hari",Congress,Nasik Central (Bombay ),male,0,1
"Deshpande,Shri Vishnu Ghanshyam",Hindu Mahasabha,Guna (Madhya Bharat ),male,0,1
"Dholakia,Shri Gulabshankar Amritlal",Congress,Kutch East (Kutch ),male,0,1
"Dhulekar,Shri Raghunath Vinayak",Congress,Jhansi Distt. (South) (Uttar Pradesh ),male,0,1
"Dhusiya,Shri Sohan Lal",Congress,Basti Distt. Central (East) Cum Gorakhpur Distt.(West) (Uttar Pradesh ),male,0,1
"Digambar Singh,Chaudhary",Congress,Etah Dist.(W) cum Mainpuri Dist.(W) cum Mathura Dist. (East) (Uttar Pradesh ),male,0,1
"Diwan,Shri Raghevendra Srinivas Rao",Congress,Osmanabad (Hyderabad ),male,0,1
"Dube,Shri Mulchand",Congress,Farrukhabad Distt. North (Uttar Pradesh ),male,0,1
"Dube,Shri Udai Shanker",Congress,Basti Distt. North (Uttar Pradesh ),male,0,1
"Dubey,Shri Rajaram Girdharilal",Congress,Bijapur North (Bombay ),male,0,1
"Dutt,Shri Asim Krishna",Congress,Calcutta South West (West Bengal ),male,0,1
"Dutta,Shri Birendra Chandra",CPI,Tripura West (Tripura ),male,0,1
"Dutta,Shri Santosh Kumar",Congress,Howrah (West Bengal ),male,0,1
"Dwivedi,Shri Dashrath Prasad",Congress,Gorakhpur Distt. (South) (Uttar Pradesh ),male,0,1
"Dwivedi,Shri Mannoolal",Congress,Hamirpur (Uttar Pradesh ),male,0,1
"Ebenezer,Dr. S.A.",Congress,Vikarabad (Hyderabad ),male,0,1
"Elayaperumal,Shri L.",Congress,Cuddalore (Madras ),male,0,1
"Fotedar,Pandit Sheo Narayan",NM,,male,1,1
"Gadgil,Shri Narhar Vishnu",Congress,Poona Central (Bombay ),male,0,1
"Ganapati Ram,Shri",Congress,Jaunpur Distt. (East)-SC (Uttar Pradesh ),male,0,1
"Gandhi,Shri Feroze",Congress,Pratapgarh Distt. (West) cum Raebareli Distt. (East)-SC (Uttar Pradesh ),male,0,1
"Gandhi,Shri Maneklal Maganlal",Congress,Panch Mahals cum Baroda East-ST (Bombay ),male,0,1
"Gandhi,Shri Maneklal Maganlal",Congress,Purnea cum Santhal Paragnas-ST (Bihar ),male,0,1
"Gandhi,Shri Vithal Balkrishna",Congress,Bombay City North (Bombay ),male,0,1
"Ganga Devi,Smt.",Congress,Lucknow Dist. cum Bara Banki Distt.-SC (Uttar Pradesh ),female,0,1
"Garg,Shri Ram Pratap",Congress,Patiala (Patiala and East Punjab States ),male,0,1
"Gautam,Shri Chintaman Dhivruji",Congress,Balaghat (Madhya Pradesh ),male,0,1
"Ghose,Shri Surendra Mohan",Congress,Malda (West Bengal ),male,0,1
"Ghosh,Shri Atulya",Congress,Burdwan (West Bengal ),male,0,1
"Ghulam Qader Bhat,Kh.",AJKN,,male,1,1
"Gidwani,Shri Choithram Partabrai",PSP,Thana (Bombay ),male,0,1
"Giri,Shri Varahagiri Venkata",Congress,Pathapatnam (Madras ),male,0,1
"Gohain,Shri Chowkhamoon",Congress,Autonomous District-ST (Assam ),male,1,1
"Gopalan,Shri Ayillath Kuttieri",CP,Cannanore (Madras ),male,0,1
"Gopi Ram,Shri",Congress,Mandi - Mahasu-SC (Himachal Pradesh ),male,0,1
"Goud,Shri Y. Gadilingana",PSP,Kurnool (Madras ),male,0,1
"Gounder,Shri K. Periaswami",Congress,Erode (Madras ),male,0,1
"Gounder,Shri K. Sakthivadivel",Congress,Periyakulam (Madras ),male,0,1
"Guha,Shri Arun Chandra",Congress,Santipur (West Bengal ),male,0,1
"Gupta,Shri Badshah",Congress,Mainpuri Distt. (East) (Uttar Pradesh ),male,0,1
