name,party,Constituency & State,gender,is_nominated,nth loksabha
"Dasappa,Shri H.C.",Congress,Bangalore (Mysore ),male,0,2
"Dass,Shri Lala Thakur",Congress,Kathua (Jammu and Kashmir ),male,1,2
"Datar,Shri Balwantrao Nageshrao",Congress,Belgaum (Mysore ),male,0,2
"Daulta,Chaudhary Pratap Singh",CP,Jhajjar-Rewari (Punjab ),male,0,2
"Deb,Shri Narasingha Malla Ugal Sanda",Congress,Midnapore (West Bengal ),male,0,2
"Deb,Shri Dasaratha",CP,Tripura East-ST (Tripura ),male,0,2
"Deo,Shri Laxmi Narayan Bhanja",Ind.,Keonjhar-ST (Odisha ),male,0,2
"Deo,Shri Pratap Keshari",GP,Kalahandi (Odisha ),male,0,2
"Deo,Shri Shankar",Congress,Gulbarga (Mysore ),male,0,2
"Desai,Shri Morarji Ranchhodji",Congress,Surat (Bombay ),male,0,2
"Deshmukh,Shri Krishnarao Gulabrao",Congress,Ramtek (Bombay ),male,0,2
"Deshmukh,Dr. Punjabrao Shamrao",Congress,Amravati (Bombay ),male,0,2
"Dhanagar,Shri Banshi Das",PSP,Mainpuri (Uttar Pradesh ),male,0,2
"Dharmalingam,Shri R.",Ind.,Tiruvannamalai (Madras ),male,0,2
"Dhodia,Shri Sanji Rupji",Congress,,male,1,2
"Dige,Shri Shankarrao Khanderao",SCF,Kolhapur-SC (Bombay ),male,0,2
"Dindod,Shri Jaljibhai Koyabhai",Congress,Dohad-ST (Bombay ),male,0,2
"Dinesh Singh,Shri",Congress,Banda (Uttar Pradesh ),male,0,2
"Dora,Shri Dippala Suri",Socialist,Parvathipuram-ST (Andhra Pradesh ),male,0,2
"Dube,Shri Mulchand",Congress,Farrukhabad (Uttar Pradesh ),male,0,2
"Dublish,Shri Vishnu Sharan",Congress,Sardhana (Uttar Pradesh ),male,0,2
"Dwivedi,Shri Mannoolal",Congress,Hamirpur (Uttar Pradesh ),male,0,2
"Dwivedy,Shri Surendranath",PSP,Kendrapara (Odisha ),male,0,2
"Easwaran Iyer,Shri S.",Ind.,Trivandrum (Kerala ),male,0,2
"Elayaperumal,Shri L.",Congress,Chidambaram-SC (Madras ),male,0,2
"Elias,Shri Mohammed",CP,Howrah (West Bengal ),male,0,2
"Ering,Shri D.",Congress,,male,1,2
"Gaewad,Shri Fatesinghrao Pratapsinghrao",Congress,Baroda (Bombay ),male,0,2
"Gaikwad,Shri B.K.",SCF,Nasik (Bombay ),male,0,2
"Ganapathy,Shri T.",Congress,Tiruchendur (Madras ),male,0,2
"Ganapati Ram,Shri",Congress,Jaunpur (Uttar Pradesh ),male,0,2
"Gandhi,Shri Feroze",Congress,Raebareli (Uttar Pradesh ),male,0,2
"Gandhi,Shri Maneklal Maganlal",Congress,Panchmahals (Bombay ),male,0,2
"Ganga Devi,Smt.",Congress,Unnao-SC (Uttar Pradesh ),female,0,2
"Gangadeb,Shri Badakumar Pratap",GP,Angul (Odisha ),male,0,2
"Ganpat Sahai,Shri",Congress,Sultanpur (Uttar Pradesh ),male,0,2
"Gautam,Shri Chintaman Dhivruji",Congress,Balaghat (Madhya Pradesh ),male,0,2
"Ghare,Shri A.Vnekatrao",PAWPI,Jalna (Bombay ),male,0,2
"Ghosal,Shri Aurobindo",FB(M),Uluberia (West Bengal ),male,0,2
"Ghose,Shri Bimal Comar",PSP,Barrackpore (West Bengal ),male,0,2
"Ghose,Shri Subiman",FB(M),Burdwan (West Bengal ),male,0,2
"Ghosh,Shri Mohindra Kumar",Congress,Jamshedpur (Bihar ),male,0,2
"Ghosh,Shri Nalini Ranjan",Congress,Cooch Behar-SC (West Bengal ),male,0,2
"Ghosh,Shri Atulya",Congress,Asansol (West Bengal ),male,0,2
"Godsora,Shri Shambhu Charan",Jharkhand,Singhbhum-ST (Bihar ),male,0,2
"Gohain,Shri Chowkhamoon",Congress,,male,1,2
"Gohokar,Dr. Deorao Yeshwantrao",Congress,Yeotmal (Bombay ),male,0,2
"Gopalan,Shri Ayillath Kuttieri",CP,Kasaragod (Kerala ),male,0,2
"Goray,Shri Narayan Ganesh",PSP,Poona (Bombay ),male,0,2
"Goundar,Shri N.P. Shanmugha",CRC,Tindivanam (Madras ),male,0,2
"Gounder,Shri A. Doraiswami",Congress,Tiruppattur (Madras ),male,0,2
"Gounder,Shri K. Periaswami",Congress,Karur (Madras ),male,0,2
"Guha,Shri Arun Chandra",Congress,Barasat (West Bengal ),male,0,2
"Gupta,Shri Ram Krishan",Congress,Mahendragarh (Punjab ),male,0,2
"Gupta,Shri Sadhan Ch.",CP,Calcutta East (West Bengal ),male,0,2
"Gupta,Shri Indrajit",CP,Calcutta (West Bengal ),male,0,2
"Gupta,Shri Bibhuti Bhushan Das",MLSS,Purulia (West Bengal ),male,0,2
"Gupta,Shri Chheda Lal",Congress,Hardoi-SC (Uttar Pradesh ),male,0,2
"Hajarnavis,Shri Ramchandra Matand",Congress,Bhandara-SC (Bombay ),male,0,2
"Halder,Shri Kansari",CP,Diamond Harbour (West Bengal ),male,0,2
"Hansda,Shri Subodh Chandra",Congress,Midnapore (West Bengal ),male,0,2
"Har Govind,Shri",Congress,Almora (Uttar Pradesh ),male,0,2
"Harvani,Shri Ansar",Congress,Fatehpur (Uttar Pradesh ),male,0,2
"Hathi,Shri Jaisukhlal Lalshankar",Congress,Halar (Bombay ),male,0,2
"Hazarika,Shri J.N.",Congress,Dibrugarh (Assam ),male,0,2
"Heda,Shri Harish Chandra",Congress,Nizamabad (Andhra Pradesh ),male,0,2
"Hem Barua,Shri",PSP,Gauhati (Assam ),male,0,2
"Hem Raj,Shri",Congress,Kangra (Punjab ),male,0,2
"Hifzur Rahman,Maulana Mohammad",Congress,Amroha (Uttar Pradesh ),male,0,2
"Hoover,Shri Hynniewta",Ind.,Autonomous District-ST (Assam ),male,0,2
"Imam,Shri J. Mohamed",Swatantra Party,Chitradurga (Mysore ),male,0,2
"Iqbal Singh,Sardar",Congress,Ferozepur (Punjab ),male,0,2
"Iyyani,Shri V. Eacharan",Congress,Palghat (Kerala ),male,0,2
"Jadhav,Shri Yadav Narain",PSP,Malegaon (Bombay ),male,0,2
"Jagjivan Ram,Shri",Congress,Sasaram-SC (Bihar ),male,0,2
"Jain,Shri Ajit Prasad",Congress,Saharanpur (Uttar Pradesh ),male,0,2
"Jain,Shri Mool Chand",Congress,Kaithal (Punjab ),male,0,2
"Jaipal Singh,Shri",Jharkhand,Ranchi West-ST (Bihar ),male,0,2
"Jamir,Shri S.C.",Congress,Naga Hills Tuensang Area (Nagaland ),male,1,2
"Jangde,Shri Resham Lal",Congress,Bilaspur-SC (Madhya Pradesh ),male,0,2
"Jedhe,Shri Gulabrao Keshavrao",Congress,Baramati (Bombay ),male,0,2
"Jedhe,Shri Keshavrao Marutirao",Congress,Baramati (Bombay ),male,0,2
"Jena,Shri Kanhu Charan",Congress,Balasore (Odisha ),male,0,2
"Jhunjhunwala,Shri Banarsi Prasad",Congress,Bhagalpur Central (Bihar ),male,0,2
"Jinachandran,Shri M.K.",Congress,Tellicherry (Kerala ),male,0,2
"Jogendra Sen,Shri",Congress,Mandi (Himachal Pradesh ),male,0,2
"Jogendra Singh,Sardar",Congress,Bahraich Distt. (West) (Uttar Pradesh ),male,0,2
"Joshi,Shri Liladhar",Congress,Shajapur-SC (Madhya Pradesh ),male,0,2
"Joshi,Smt. Subhadra",Congress,Ambala-SC (Punjab ),female,0,2
"Joshi,Shri Anand Chandra",Congress,Shahdol-ST (Madhya Pradesh ),male,0,2
"Ju Deo,Maharajkumar Chandikeshwar Sharan Singh",Congress,Surguja-ST (Madhya Pradesh ),male,0,2
"Jyotishi,Pandit Jwala Prasad",Congress,Sagar-SC (Madhya Pradesh ),male,0,2
"Kale,Smt. Anasuyabai Purushottam",Congress,Nagpur (Bombay ),female,0,2
"Kamble,Dr. Devrao Namdevrao Pathrikar",Congress,Nanded-SC (Bombay ),male,0,2
"Kamble,Shri Bapu Chandrasen",Ind.,Kopargaon-SC (Bombay ),male,0,2
"Kanakasabai Pillai,Shri R.",Congress,Chidambaram-SC (Madras ),male,0,2
"Kanungo,Shri Nityanand",Congress,Cuttack (Odisha ),male,0,2
"Kar,Shri Prabhat",CP,Hooghly (West Bengal ),male,0,2
"Karmarkar,Shri Dattatraya Parasuram",Congress,Dharwad North (Mysore ),male,0,2
"Karni Singh,Dr.Maharaja Bikaner",Ind.,Bikaner (Rajasthan ),male,0,2
"Kashi Ram,Shri V.",Congress,Nalgonda (Andhra Pradesh ),male,0,2
"Kasliwal,Shri Nemi Chandra",Congress,Kota (Rajasthan ),male,0,2
"Katti,Shri Datta Appa",SCF,Chikodi-SC (Mysore ),male,0,2
"Kayal,Shri Paresh Nath",Congress,Basirhat (West Bengal ),male,0,2
"Kedaria,Shri Chhaganbhai Madaribhai",Congress,Mandavi-ST (Bombay ),male,0,2
"Kesar Kumari,Devi,Rani",Congress,Raipur (Madhya Pradesh ),female,0,2
"Keshava,Shri N. alias N. Keshavaiengar",Congress,Bangalore City (Mysore ),male,0,2
"Keskar,Dr. Balkrishna Vishwanath",Congress,Musafirkhana (Uttar Pradesh ),male,0,2
"Khadilkar,Shri Raghunath Keshav",MKP,Ahmednagar (Bombay ),male,0,2
"Khadiwala,Shri Kanhaiyalal",Congress,Indore (Madhya Pradesh ),male,0,2
"Khan,Shri Osman Ali S.",Congress,Kurnool (Andhra Pradesh ),male,0,2
"Khan,Shri Sadath Ali",Congress,Warangal (Andhra Pradesh ),male,0,2
"Khan,Shri Shah Nawaz",Congress,Meerut (Uttar Pradesh ),male,0,2
"Khedkar,Shri Gopalrao Bajirao",Congress,Akola-SC (Bombay ),male,0,2
"Khimji,Shri Bhawanji Arjan",Congress,Kutch (Bombay ),male,0,2
"Khuda Buksh,Shri Muhammed",Congress,Murshidabad (West Bengal ),male,0,2
"Khwaja,Shri A. Jamal Y.",Congress,Aligarh (Uttar Pradesh ),male,0,2
"Kiledar,Shri R.S.",Congress,Hoshangabad (Madhya Pradesh ),male,0,2
"Kistaiya,Shri Surti",Congress,Bastar-ST (Madhya Pradesh ),male,0,2
"Kodiyan,Shri P.K.",CP,Quilon (Kerala ),male,0,2
"Koratkar,Shri V.K.",Congress,Hyderabad City (Andhra Pradesh ),male,0,2
"Kotoki,Shri Liladhar",Congress,Nowgong (Assam ),male,0,2
"Kottukapally,Shri George Thomas",Congress,Muvattupuzha (Kerala ),male,0,2
"Koya,Shri K. Nalla",Congress,,male,1,2
"Kripalani,Acharya J.B.",PSP,Sitamarhi (Bihar ),male,0,2
"Kripalani,Smt. Sucheta",Congress,New Delhi (NCT of Delhi ),female,0,2
"Krishna,Shri M.R.",Congress,Karimnagar (Andhra Pradesh ),male,0,2
"Krishna Chandra,Shri",Congress,Jalesar (Uttar Pradesh ),male,0,2
"Krishnaiah,Shri D. Balarama",Congress,Gudiwada (Andhra Pradesh ),male,0,2
"Krishnamachari,Shri T.T.",Congress,Madras South (Madras ),male,0,2
"Krishnan,Smt. Parvathi",CP,Coimbatore (Madras ),female,0,2
"Krishnappa,Shri M.V.",Congress,Tumkur (Mysore ),male,0,2
"Krishnaswami,Dr. A.",Ind.,Chengleput (Madras ),male,0,2
"Kumaran,Shri M.K.",CP,Chirayinkil (Kerala ),male,0,2
"Kumbhar,Shri Banamali",GP,Sambalpur (Odisha ),male,0,2
"Kunhan,Shri Patinjara",CP,Palghat (Kerala ),male,0,2
"Kureel,Shri Baijnath",Congress,Raebareli (Uttar Pradesh ),male,0,2
"Lachchi Ram,Chaudhary",Congress,Hamirpur (Uttar Pradesh ),male,0,2
"Lahiri,Shri Jiten",Congress,Serampore (West Bengal ),male,0,2
"Laisram,Shri Achaw Singh",Socialist,Inner Manipur (Manipur ),male,0,2
"Lalita Rajya Laxmi,Rani",Janata Party,Hazaribagh (Bihar ),male,0,2
"Laskar,Prof. Nibaran Chandra",Congress,Cachar-SC (Assam ),male,0,2
"Latif,Shri M. Abdul",Congress,Bijnor-SC (Uttar Pradesh ),male,0,2
"Laxmi Bai,Smt. Sangam",Congress,Vicarabad (Andhra Pradesh ),female,0,2
"Madhok,Shri Bal Raj",Jan Sangh,New Delhi (NCT of Delhi ),male,0,2
"Mahadeo Prasad,Shri",Congress,Gorakhpur (Uttar Pradesh ),male,0,2
"Mahagaonkar,Shri Bhausaheb Raosaheb",PAWPI,Kolhapur (Bombay ),male,0,2
"Mahendra Pratap,Raja",Ind.,Mathura (Uttar Pradesh ),male,0,2
"Maheshwari,Dr. Govind Das Jeewan Das",Congress,Jabalpur (Madhya Pradesh ),male,0,2
"Maiti,Shri Nikunja Bihari",Congress,Ghatal (West Bengal ),male,0,2
"Majhi,Shri Ram Chandra",Jharkhand,Mayurbhanj-ST (Odisha ),male,0,2
"Majithia,Sardar Surjit Singh",Congress,Taran Taran (Punjab ),male,0,2
"Malaviya,Shri Keshav Dev",Congress,Basti-SC (Uttar Pradesh ),male,0,2
"Malaviya,Shri Govind",Congress,Sultanpur (Uttar Pradesh ),male,0,2
"Malhotra,Shri Inder Jit",Congress,Kathua (Jammu and Kashmir ),male,1,2
"Malliah,Shri U. Srinivasa",Congress,Udupi (Mysore ),male,0,2
"Mallik,Shri D.C.",Congress,Dhanbad (Bihar ),male,0,2
"Malvia,Shri Kanhaiyalal Bherulal",Congress,Shajapur-SC (Madhya Pradesh ),male,0,2
"Malviya,Shri Moti Lal",Congress,Khajuraho (Madhya Pradesh ),male,0,2
"Manaen,Shri T.",Congress,Darjeeling (West Bengal ),male,0,2
"Manay,Shri Gopal Kaluji",SCF,Bombay City Central-SC (Bombay ),male,0,2
"Mandal,Shri Jiyalal",Congress,Khagaria (Bihar ),male,0,2
"Mandal,Dr. Pashupati",Congress,Bankura (West Bengal ),male,0,2
"Maniyangadan,Shri Mathew",Congress,Kottayam (Kerala ),male,0,2
"Manjula Devi,Rani",Congress,Goalpara-ST (Assam ),male,0,2
"Mardi,Shri Selku",Congress,West Dinajpur (West Bengal ),male,0,2
"Masani,Shri M.R.",Ind.,Ranchi East-ST (Bihar ),male,0,2
"Masuriya Din,Shri",Congress,Phulpur (Uttar Pradesh ),male,0,2
"Matera,Shri Laxman Mahadu",CP,Thana (Bombay ),male,0,2
"Mathur,Shri Harish Chandra",Congress,Pali (Rajasthan ),male,0,2
"Mathur,Shri Mathuradas",Congress,Nagaur (Rajasthan ),male,0,2
"Matin,Qazi S.A.",Janata Party,Giridih (Bihar ),male,0,2
"Mehdi,Raja Syed Ahmad",Congress,Rampur (Uttar Pradesh ),male,0,2
"Mehta,Smt. Krishna",Congress,Kishtwar (Jammu and Kashmir ),male,1,2
"Mehta,Shri Balvantray Gopalji",Congress,Gohilwad (Bombay ),male,0,2
"Mehta,Shri Jaswantraj",Congress,Jodhpur (Rajasthan ),male,0,2
"Mehta,Shri Ashok Ranjitram",PSP,Muzaffarpur (Bihar ),male,0,2
"Melkote,Dr. Gopal S.",Congress,Raichur (Mysore ),male,0,2
"Menon,Dr. K.B.",PSP,Badagara (Kerala ),male,0,2
"Menon,Shri T.C.Narayanankutty",CP,Mukundapuram (Kerala ),male,0,2
"Menon,Shri V.K. Krishna",Congress,Bombay City North (Bombay ),male,0,2
"Minimata Agam Dass Guru,Smt.",Congress,Baloda Bazar-SC (Madhya Pradesh ),female,0,2
"Mishra,Shri Lalit Narayan",Congress,Saharsa (Bihar ),male,0,2
"Mishra,Shri Mathura Prasad",Congress,Begusarai (Bihar ),male,0,2
"Mishra,Shri Shyam Nandan",Congress,Jainagar (Bihar ),male,0,2
"Misra,Shri Raghubar Dayal",Congress,Bulandshahar (Uttar Pradesh ),male,0,2
"Misra,Shri Bhagwandin",Congress,Kaiserganj (Uttar Pradesh ),male,0,2
"Misra,Shri Raja Ram",Congress,Faizabad (Uttar Pradesh ),male,0,2
"Mohan Swarup,Shri",Congress,Pilibhit (Uttar Pradesh ),male,0,2
"Mohanty,Shri Surendra",Utkal Congress,Dhenkanal (Odisha ),male,0,2
"Mohideen,Shri M. Gulam",Congress,Dindigul (Madras ),male,0,2
"Mohiuddin,Shri Ahmed",Congress,Secunderabad (Andhra Pradesh ),male,0,2
"Morarka,Shri Radheyshyam Ramkumar",Congress,Jhunjhunu (Rajasthan ),male,0,2
"More,Shri Jayawant Ghanashyam",SMS,Sholapur-SC (Bombay ),male,0,2
"Mukerjee,Shri Hirendra Nath",CP,Calcutta North East (West Bengal ),male,0,2
"Mullick,Shri Baishnab Charan",PSP,Kendrapara (Odisha ),male,0,2
"Murmu,Shri Paika",Congress,Rajmahal-ST (Bihar ),male,0,2
"Murthy,Shri Bayya Suryanarayana",Congress,Kakinada (Andhra Pradesh ),male,0,2
"Murti,Shri Missula Suryanarayana",Congress,Golugonda-ST (Andhra Pradesh ),male,0,2
"Musafir,Sardar Gurmukh Singh",Congress,Amritsar (Punjab ),male,0,2
"Muthukrishnan,Shri M.",Congress,Vellore (Madras ),male,0,2
"Nadar,Shri P. Thanulingam",Congress,Nagercoil (Madras ),male,0,2
"Naidu,Shri R. Govindarajulu",Congress,Tiruvallur (Madras ),male,0,2
"Naidu,Shri T.D. Muthukumarasamy",CRC,Cuddalore (Madras ),male,0,2
"Nair,Shri K. P. Kutti Krishnan",Congress,Kozhikode (Kerala ),male,0,2
"Nair,Shri P.K. Vasudevan",CP,Thiruvella (Kerala ),male,0,2
"Nair,Shri C. Krishnan",Congress,Outer Delhi-SC (NCT of Delhi ),male,0,2
"Naldurgker,Shri Venkatrao Shriniwasrao",Congress,Osmanabad (Bombay ),male,0,2
"Nanda,Shri Gulzarilal",Congress,Sabarkantha (Bombay ),male,0,2
"Nanjappa,Shri C.",Congress,Nilgiris (Madras ),male,0,2
"Narain Din,Shri",Congress,Shahjahanpur (Uttar Pradesh ),male,0,2
"Narasimhan,Shri C.R.",Congress,Krishnagiri (Madras ),male,0,2
"Narayanaswami,Shri R.",Congress,Periyakulam (Madras ),male,0,2
"Nardeo Snatak,Shri",Congress,Aligarh (Uttar Pradesh ),male,0,2
"Naskar,Shri Purnendu Sekhar",Congress,Diamond Harbour (West Bengal ),male,0,2
"Nath Pai,Shri Bapu",PSP,Rajapur (Bombay ),male,0,2
"Nathwani,Shri Narendra Paragji",Congress,Sorath (Bombay ),male,0,2
"Nayak,Shri Mohan",Congress,Ganjam (Odisha ),male,0,2
"Nayar,Dr. Sushila",Janata Party,Jhansi (Uttar Pradesh ),female,0,2
"Nayar,Shri V. Parmeswaran",CP,Quilon (Kerala ),male,0,2
"Negi,Shri Nek Ram",Congress,Mahasu-SC (Himachal Pradesh ),male,0,2
"Nehru,Shri Jawaharlal",Congress,Phulpur (Uttar Pradesh ),male,0,2
"Nehru,Smt. Uma",Congress,Sitapur (Uttar Pradesh ),female,0,2
"Neswi,Shri Thimmappa Rudrappa",Congress,Dharwad South (Mysore ),male,0,2
"Onkar Lal Chauhan,Shri",Congress,Kota (Rajasthan ),male,0,2
"Oza,Shri Ghanshyambhai Chhotalal",Congress,Zalawad (Bombay ),male,0,2
"Padal,Shri Kankipati Veeranna",Congress,Golugonda-ST (Andhra Pradesh ),male,0,2
"Padam Dev,Shri",Congress,Chamba (Himachal Pradesh ),male,0,2
"Pahadia,Shri Jagannath",Congress,Sawai Madhopur-ST (Rajasthan ),male,0,2
"Palaniyandy,Shri M.",Congress,Perambalur-SC (Madras ),male,0,2
"Pande,Shri C.D.",Congress,Nainital (Uttar Pradesh ),male,0,2
"Pandey,Shri Kashi Nath",Congress,Hata (Uttar Pradesh ),male,0,2
"Pandey,Shri Sarjoo",CP,Basra (Uttar Pradesh ),male,0,2
"Pangarkar,Shri Nagorao Kerojee",Congress,Parbhani (Bombay ),male,0,2
"Panigrahi,Shri Chintamani",Congress,Puri (Odisha ),male,0,2
"Panna Lal,Shri",Congress,Faizabad-SC (Uttar Pradesh ),male,0,2
"Paragi Lal,Shri",Congress,Sitapur-SC (Uttar Pradesh ),male,0,2
"Parmar,Shri Deenbandhu",Congress,Udaipur (Rajasthan ),male,0,2
"Parmar,Shri Karsandas Ukabhai",Ind.,Ahmedabad-SC (Bombay ),male,0,2
"Parmar,Dr. Yeshwant Singh",Congress,Mahasu-SC (Himachal Pradesh ),male,0,2
"Parulekar,Shri Shamrao Vishnu",CP,Thana (Bombay ),male,0,2
"Patel,Shri Nanubhai Nichhabhai",Congress,Bulsar-ST (Bombay ),male,0,2
"Patel,Shri Purushottamdas Rachhoddas",MJP,Mehsana (Bombay ),male,0,2
"Patel,Kumari Manibehn Vallabhbhai",Congress,Anand (Bombay ),female,0,2
"Patel,Shri Rajeshwara",Congress,Hajipur-SC (Bihar ),male,0,2
"Patil,Shri Sadashiv Kanoji",Congress,Bombay City South (Bombay ),male,0,2
"Patil,Shri Balasahib alias Balwant",PAWPI,Miraj (Bombay ),male,0,2
"Patil,Shri Nana Ramchandra",CP,North Satara (Bombay ),male,0,2
"Patil,Shri Rakhmaji Dhondiba",Congress,Bhir (Bombay ),male,0,2
"Patil,Shri T.S.",Congress,Akola-SC (Bombay ),male,0,2
"Patil,Shri Uttamrao Laxmanrao",Jan Sangh,Dhulia (Bombay ),male,0,2
"Patnaik,Shri Uma Charan",Ind.,Ganjam (Odisha ),male,0,2
"Pattabhi Raman,Shri C.R.",Congress,Kumbakonam (Madras ),male,0,2
"Peddaya,Shri M.",Congress,Nalgonda (Andhra Pradesh ),male,0,2
"Pillai,Shri P.T. Thanu",Congress,Tirunelveli (Madras ),male,0,2
"Pillai,Shri S.C.C. Anthony",Socialist,Madras North (Madras ),male,0,2
"Pocker,Shri B.",Ind.,Manjeri (Kerala ),male,0,2
"Prabhakar,Shri Naval",Congress,Outer Delhi-SC (NCT of Delhi ),male,0,2
"Prodhan,Shri Bijaya Chandra",GP,Kalahandi (Odisha ),male,0,2
"Punnoose,Shri P.T.",CP,Ambalapuzha (Kerala ),male,0,2
"Radha Raman,Shri",Congress,Chandni Chowk (NCT of Delhi ),male,0,2
"Raghubir Sahai,Shri",Congress,Budaun (Uttar Pradesh ),male,0,2
"Raghunath Singh,Shri",Congress,Varanasi (Uttar Pradesh ),male,0,2
"Raghuramaiah,Shri Kotha",Congress,Guntur (Andhra Pradesh ),male,0,2
"Rai,Shri Kushwaqt alias Bhaiya Lal",PSP,Kheri (Uttar Pradesh ),male,0,2
"Rai,Smt. Sahodrabai Murlidhar",Congress,Sagar-SC (Madhya Pradesh ),female,0,2
"Raj Bahadur,Shri",Congress,Bharatpur (Rajasthan ),male,0,2
"Rajaram Balkrishna Raut,Shri",PAWPI,Kolaba (Bombay ),male,0,2
"Rajendra Singh,Shri",PSP,Chapra (Bihar ),male,0,2
"Rajiah,Shri Devanapalli",Congress,Nalgonda (Andhra Pradesh ),male,0,2
"Raju,Dr. Dalta Satyanarayana",Congress,Rajahmundry (Andhra Pradesh ),male,0,2
"Raju,Shri Pusapati Vijayram Gajapati",Socialist,Visakhapatnam (Andhra Pradesh ),male,0,2
"Ram Saran,Prof.",Congress,Moradabad (Uttar Pradesh ),male,0,2
"Ram Shankar Lal,Shri",Congress,Domariaganj (Uttar Pradesh ),male,0,2
"Ramakrishnan,Shri P.R.",Congress,Pollachi (Madras ),male,0,2
"Ramam,Shri Uddaraju",CP,Narasapur (Andhra Pradesh ),male,0,2
"Ramanathan Chettiar,Shri R.",Congress,Pudukkottai (Madras ),male,0,2
"Ramaswamy,Shri K.S.",Congress,Gobichettipalayam (Madras ),male,0,2
"Ramaswamy,Shri Puli",Congress,Mahbubnagar (Andhra Pradesh ),male,0,2
"Ramaswamy,Shri S.V.",Congress,Salem (Madras ),male,0,2
"Ramaul,Shri S.N.",Congress,Mahasu-SC (Himachal Pradesh ),male,0,2
"Ramgarib,Shri",Ind.,Basti-SC (Uttar Pradesh ),male,0,2
"Rampure,Shri Mahadevappa",Congress,Gulbarga (Mysore ),male,0,2
"Rane,Shri Shivram Rango",Congress,Buldana (Bombay ),male,0,2
"Ranga,Prof. Nayakulu G.",Congress,Tenali (Andhra Pradesh ),male,0,2
"Rao,Shri Devulapalli Venkateswara",CP,Nalgonda (Andhra Pradesh ),male,0,2
"Rao,Shri Etikala Madhusudan",Congress,Mahabubabad (Andhra Pradesh ),male,0,2
"Rao,Shri Janumpally Rameshwar",Congress,Mahbubnagar (Andhra Pradesh ),male,0,2
"Rao,Shri Rachakonda Jagannath",Congress,Koraput-ST (Odisha ),male,0,2
"Rao,Shri M. Sri Ranga",Congress,Karimnagar (Andhra Pradesh ),male,0,2
"Rao,Shri Mandali Venkata Krishna",Congress,Masulipatnam (Andhra Pradesh ),male,0,2
"Rao,Shri Mosalikanti Thirumala",Congress,Kakinada (Andhra Pradesh ),male,0,2
"Rao,Shri P. Hanmanth",Congress,Medak (Andhra Pradesh ),male,0,2
"Rao,Shri R.N.",Congress,Jalna (Bombay ),male,0,2
"Rao,Shri T.B. Vittal",CP,Khammam (Andhra Pradesh ),male,0,2
"Raut,Shri Bhola",Congress,Champaran-SC (Bihar ),male,0,2
"Reddy,Shri K.Chengalaraya",Congress,Kolar-SC (Mysore ),male,0,2
"Reddy,Shri T.N. Viswanatha",Congress,Rajampet (Andhra Pradesh ),male,0,2
"Reddy,Shri C. Bali",Congress,Markapur (Andhra Pradesh ),male,0,2
"Reddy,Shri K.V. Ramakrishna",Congress,Hindupur (Andhra Pradesh ),male,0,2
"Reddy,Shri R. Lakshminarasa",Congress,Nellore-SC (Andhra Pradesh ),male,0,2
"Reddy,Shri Ronda Narappa",Congress,Ongole (Andhra Pradesh ),male,0,2
"Reddy,Shri T. Nagi",CP,Anantapur (Andhra Pradesh ),male,0,2
"Reddy,Shri Vutukuru Rami",Congress,Cuddapah (Andhra Pradesh ),male,0,2
"Renuka Ray,Smt.",Congress,Malda (West Bengal ),female,0,2
"Roy,Shri Biren",Ind.,Calcutta South West (West Bengal ),male,0,2
"Roy,Shri Bishwanath",Congress,Salempur (Uttar Pradesh ),male,0,2
"Rup Narain,Shri",Congress,Mirzapur (Uttar Pradesh ),male,0,2
"Sadhu Ram,Chaudhary",Congress,Jullundur (Punjab ),male,0,2
"Sahaya,Shri Syamnandan",Congress,Muzaffarpur Central (Bihar ),male,0,2
"Sahu,Shri Bhagabat",Congress,Balasore (Odisha ),male,0,2
"Sahu,Shri Rameshwar",Congress,Darbhanga-SC (Bihar ),male,0,2
"Saigal,Sardar Amar Singh",Congress,Janjgir-Dist.Bilashpur (Madhya Pradesh ),male,0,2
"Saksena,Shri Shibbanlal",Ind.,Maharajganj (Uttar Pradesh ),male,0,2
"Salam,Shri M.K.M. Abdul",Congress,Tiruchirapalli (Madras ),male,0,2
"Salunke,Shri Balasaheb Dagaduji",SCF,Khed-SC (Bombay ),male,0,2
"Samanta,Shri Satis Chandra",Congress,Tamluk (West Bengal ),male,0,2
"Samantsinhar,Dr. Nrusinha Charan",Congress,Bhubaneswar (Odisha ),male,0,2
"Sambandam,Shri K.R.",Congress,Nagapattinam-SC (Madras ),male,0,2
"Sampath,Shri E.V.K.",DMK,Namakkal-SC (Madras ),male,0,2
"Sanganna,Shri Toyaka",Congress,Koraput-ST (Odisha ),male,0,2
"Sanghi,Shri Narendra Kumar",Congress,Nagaur (Rajasthan ),male,0,2
"Sankarapandian,Shri M.",Congress,Tenkasi-SC (Madras ),male,0,2
"Sardar,Shri Bholi",Congress,Saharsa (Bihar ),male,0,2
"Sarhadi,Shri Ajit Singh",Congress,Ludhiana (Punjab ),male,0,2
"Sarma,Shri Ananta Tripathi",Congress,Chatrapur (Odisha ),male,0,2
"Satanarayana,Shri Biddika",Congress,Parvathipuram-ST (Andhra Pradesh ),male,0,2
"Satish Chandra,Shri",Congress,Bareilly (Uttar Pradesh ),male,0,2
"Satyabhama Devi,Smt.",Congress,Nawada-SC (Bihar ),female,0,2
